state,urologist_count,total_revenue,avg_revenue_per_md,total_services,revenue_per_md_rank,volume_rank
VI,2,410720.17,11734.862,4508.0,1,53
CA,795,141794070.93,10457.561098163582,6538282.0,2,1
DE,27,7762866.35,10433.960147849462,183088.0,3,36
FL,702,113797335.22,8949.84940778608,4525567.5,4,2
MS,66,16018830.6,8696.433550488598,768392.0,5,18
MD,180,34763837.44,8533.09706431026,849116.0,6,17
NY,715,100168468.83,8483.820515795715,3790076.1,7,3
NJ,299,57966355.61,8443.751727603787,1619417.0,8,7
MA,233,36428145.79,8189.780977967625,868407.5,9,15
IL,330,52168071.62,7924.665292419869,1482808.2,10,10
AZ,191,31535911.22,7878.069253060205,679144.0,11,20
NV,45,7107536.59,7836.3137706725465,162709.0,12,37
HI,27,1774936.93,7717.117086956521,28271.0,13,49
TX,635,89132587.92,7658.754761986595,3726217.3,14,4
SC,142,23720643.830000002,7644.422761843378,1171506.0,15,12
VA,218,32507921.78,7351.407005879692,1329421.5,16,11
OK,105,18816490.07,7265.054081081081,895611.0,17,14
GU,3,261398.86000000002,7064.834054054055,3255.0,18,54
AK,18,2213184.94,7003.749810126582,28697.0,19,48
DC,34,3756754.5,6818.066243194193,57829.0,20,42
TN,199,29173129.4,6803.435027985074,1998797.0,21,6
IN,196,26800141.67,6471.900910408114,706136.0,22,19
KS,76,10676884.42,6435.735033152501,352127.0,23,28
MO,172,20412868.68,6385.00740694401,658641.0,24,21
LA,156,17749693.96,6375.608462643679,1504790.0,25,9
WY,12,1666326.72,6288.025358490566,34339.0,26,46
CT,120,10592875.03,6194.663760233918,248608.0,27,34
MT,34,3510531.73,6191.413985890653,56598.0,28,43
PA,408,38883773.4,6118.6110778914235,860586.3,29,16
GA,267,29919065.97,5980.225058964621,2347688.0,30,5
NM,34,2900805.3,5944.273155737705,58326.0,31,41
UT,61,5694624.67,5888.960361944157,184566.7,32,35
AR,55,9729507.91,5875.306708937198,408136.0,33,26
MI,277,25845059.87,5856.573729888964,521075.5,34,23
NE,50,8240763.78,5750.707452896023,430728.0,35,25
NC,295,29025551.34,5748.77229946524,1012606.0,36,13
WA,183,16969303.31,5727.068278771515,453404.0,37,24
KY,99,8633246.06,5573.431930277598,280915.0,38,30
AL,125,13939449.8,5496.628470031546,1527824.0,39,8
NH,51,4002850.41,5453.474673024523,88364.0,40,40
OR,104,9141781.94,5396.565489964581,257138.0,41,33
IA,75,9431659.73,5368.04765509391,349656.0,42,29
ZZ,3,160844.30000000002,5361.476666666667,1923.0,43,55
OH,346,30643262.38,5352.534913537118,637141.0,44,22
CO,151,15329415.65,5205.234516129032,391957.0,45,27
ID,39,4123079.42,5015.911703163017,104416.0,46,39
RI,36,2434197.25,4977.908486707566,51874.0,47,44
SD,23,2918000.62,4945.763762711865,130316.0,48,38
ND,16,845170.64,4643.794725274725,11263.0,49,51
VT,23,1230657.8,4229.064604810997,21092.0,50,50
MN,168,9559052.93,4212.892432789775,271155.0,51,31
WI,157,8738227.46,4197.035283381365,260390.0,52,32
AE,1,44046.880000000005,4004.2618181818184,526.0,53,56
WV,47,2224984.56,3695.9876411960136,39700.0,54,45
PR,70,684386.97,3509.676769230769,9680.0,55,52
ME,44,1329002.74,2953.3394222222223,31607.0,56,47
